product link,apparel name,apparel image,item-price,type,brand
https://www.six5sixstreet.com/collections/bottoms/products/beluga-co-ord-shorts,Beluga Co-Ord Shorts,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3361_VSCO_grande.jpg?v=1722598589,"1,400.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/sauna-co-ord-bow-pants,Sauna Co-Ord Bow Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3862_VSCO_grande.jpg?v=1722597113,"1,400.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/fern-embroidered-co-ord-pants,Fern Embroidered Co-Ord Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3857_VSCO_grande.jpg?v=1722238800,"1,890.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/sunday-blues-co-ord-pants,Sunday Blues Co-Ord Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3847_VSCO_grande.jpg?v=1721638097,"1,750.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/pine-co-ord-pants-copy,Slush Co-Ord Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3873_VSCO_grande.jpg?v=1721637961,"1,750.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/pine-co-ord-pants,Pine Co-Ord Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3354_VSCO_grande.jpg?v=1721637747,"1,750.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/celadon-co-ord-pants,Celadon Co-Ord Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3347_VSCO_grande.jpg?v=1721637551,"1,750.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/azure-co-ord-pants,Azure Co-Ord Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3842_VSCO_cdc6f565-c351-496e-a775-4b395aacc159_grande.jpg?v=1721638150,"1,750.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/aquamarine-denim-cargos,Aquamarine Denim Cargos,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/5C35034C-9703-4775-976B-7F2AF7D48B36_grande.jpg?v=1713184712,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/raven-pants,Raven Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/8E97B563-FC12-49C9-8FCD-D79E37ABE849_grande.jpg?v=1712319298,"1,750.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/obsidian-pants,Obsidian Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/AC17DD7D-3069-48BF-9ABE-D15F71BF8702_grande.jpg?v=1712318937,"1,750.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/cloud-dust-jeans,Cloud Dust Jeans,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/57713EB6-D5AB-4088-AC29-86871D60AC7A_grande.jpg?v=1712318451,"2,800.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/brick-denim-cargos,Brick Denim Cargos,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/534E8C56-11B5-422B-AC7C-2D7D20C4D47F_grande.jpg?v=1712314771,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/congo-oversized-jeans,Congo Oversized Jeans,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/BBAE0503-5B86-4021-B8DF-C4E45553371B_grande.jpg?v=1712318124,"2,800.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/trail-oversized-jeans,Trail Oversized Jeans,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/6D50C1F3-FFD6-4C6E-ABB8-DFEFA582D58B_grande.jpg?v=1712315532,"2,800.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/astral-denim-jeans-ash,Astral Denim Jeans Ash,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Six5sixecom-3270copy_grande.jpg?v=1704711970,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/astral-denim-top-jeans-blue,Astral Denim Jeans Blue,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Six5sixecom-3956copy_grande.jpg?v=1704713222,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/hydrous-oversized-jeans,Hydrous Oversized Jeans,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Six5sixecom-3819copy_grande.jpg?v=1703067933,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/grime-oversized-jeans,Grime Oversized Jeans,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Six5sixecom-3541copy_grande.jpg?v=1703067970,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/algae-cargos,Algae Cargos,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Six5sixecom-3301copy_grande.jpg?v=1703067067,"2,100.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/electricity-cargos,Electricity Cargos,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Six5sixecom-3798copy_grande.jpg?v=1703065107,"2,100.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/biodiesel-cargos,Biodiesel Cargos,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Six5sixecom-3365copy_grande.jpg?v=1703065041,"2,100.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/quartz-pant,Quartz Pant,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Oct23six5six-1520copy_grande.jpg?v=1697116011,"1,750.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/jet-tracksuit-pant,Jet Tracksuit Pant,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Oct23six5six-2009copy_grande.jpg?v=1697095697,999.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/old-school-denim-skirt-2,Old School Denim Skirt Blue,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Oct23six5six-1257copy_grande.jpg?v=1697095219,"3,500.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/old-school-denim-skirt-1,Old School Denim Skirt Black,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Oct23six5six-0440copy_grande.jpg?v=1697095342,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/old-school-denim-skirt,Old School Denim Skirt Rust,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Oct23six5six-0113copy_grande.jpg?v=1697095327,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/cabin-multipocket-cargos-1,Cabin Multipocket Cargos Black,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Oct23six5six-0703copy_grande.jpg?v=1697095487,"2,800.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/cabin-multipocket-cargos,Cabin Multipocket Cargos Grey,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/Oct23six5six-0944copy_109620ce-edc3-4e64-ad8d-dcf90afde0fa_grande.jpg?v=1697095396,"2,800.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/waffle-resort-pants,Waffle Resort Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/0R5A1249_grande.jpg?v=1687512116,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/jelly-denim-cargos,Jelly Denim Cargos,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/0R5A1449_grande.jpg?v=1687512082,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/gasoline-denim-cargos-black,Ozone Denim Cargos,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/SIX5SIX_0271_grande.jpg?v=1682498845,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/656-feb-001,Diesel Cargo Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/12_f1895be5-61b7-4b2f-81a2-d55ffba907c8_grande.png?v=1676358329,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/hangar-joggers-red,Hangar Joggers,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/77_grande.jpg?v=1665131599,999.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/sunset-pants,Sunset Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/3_90573fb1-8cd5-4458-9168-6f4c5de18292_grande.jpg?v=1665131742,799.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/petrol-jean-cargos,Petrol Denim Cargos,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/3_eb9c3deb-2f94-4444-b426-bbfea182c40d_grande.jpg?v=1656916461,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/ba6ix-travel-joggers-soil,Ba6Ix Travel Joggers Soil,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/1_79db34d6-7279-499a-9e6d-2094ad475f69_grande.jpg?v=1654410092,999.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/ba6ix-travel-joggers-moss,Ba6Ix Travel Joggers Moss,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/4_027a98ef-cf24-4e2d-9189-974ba7e5de6f_grande.jpg?v=1654410086,999.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/90s-denim-valentino-pink,90s Denim Valentino Pink,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/4_4d93bad6-1c7d-4cdb-90c8-e35b9ad63ca8_grande.jpg?v=1654494437,999.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/cobweb-pants,Cobweb Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/6_70bd70ee-f11f-4bd8-b68f-7ad15218fc16_grande.jpg?v=1654410098,799.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/90s-denim-surf-blue,90s Denim Surf Blue,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/2_854e4009-e39a-4994-ac99-cf80dfc95ce4_grande.jpg?v=1654434142,999.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/barcode-denims,Barcode Denims,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/1_f8f06bcb-89a6-44f8-a77f-3a13b8503dc2_grande.jpg?v=1649148152,799.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/split-ink-pants,Spilt Ink Pants,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/74_grande.jpg?v=1646399989,799.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/90s-denim-4,90s Denim Purple,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/51_grande.jpg?v=1646400066,999.00,lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/90s-denim-3,90s Denim Orange,https://cdn.shopify.com/s/files/1/0261/6518/2569/products/116_grande.jpg?v=1646393967,999.00,lower,six5six
https://supervek.in/products/dad-caps?_pos=1&_fid=a5a3047a2&_ss=c,Thunder Dad Cap Black,https://supervek.in/cdn/shop/products/Supervek8629-Edit_300x.jpg?v=1667212398,895.00,headgear,Supervek
https://supervek.in/products/classic-baseball-cap?_pos=2&_fid=a5a3047a2&_ss=c,Classic Dad Cap,https://supervek.in/cdn/shop/products/3_400x.png?v=1654773225,795.00,headgear,Supervek
https://supervek.in/products/lit-baseball-cap?_pos=3&_fid=a5a3047a2&_ss=c,Lit Baseball Cap,https://supervek.in/cdn/shop/products/8-01_1000x.jpg?v=1654085564,1195.00,headgear,Supervek
https://supervek.in/products/blaze-it-baseball-cap?_fid=a5a3047a2,Blaze it Ball Cap,https://supervek.in/cdn/shop/products/front_b9e3d72a-9aa2-42ff-b880-46f296176717_700x.jpg?v=1654771530,1095,headgear,Supervek
https://supervek.in/products/vekalien-baseball-cap?_fid=a5a3047a2,Vekalien Baseball Cap,https://supervek.in/cdn/shop/products/6_1000x.png?v=1672642779,1095,headgear,Supervek
